Lake,Midpoint Depth (cm),Year (AD),Zone,MnFe,K/Ti,CN,D15N,D13C,pheophytin a,Bosmina sp.,D. longispina,D. pulex,Chydorus brevilabris,Alona quadrangularis,Alona affinis,Rynchotalona falcata,Alona guttata,Alona circumfibriata,Graptoleberis testudinaria,Pleuroxus sp.,Acroperus harpae,Alonella excisa,Alona intermedia,Eurycercus sp.,Chydorus gibbus,Leydigia leydigi,Alonella nana,Camptocercus sp.,Chydorus faviformus,Monospilus dispar,Sida crystallina,Procladius,Microtendipes,Polypedilum,T.mendax,Einfeldia,Endochironomus,Corynoneura/Thienemaniella,Cryptochironomus,Micropsectra,C.plumosus,Cladopelma,Psectrocladius,Glyptotendipespallens,C.anthracinus,Tanytarsussp.
Lac Unique,0.25,2014,3,0.041431846,4.446071904,8.5734,3.656106163,-30.81462583,0.171,85.8490566,3.773584906,0,7.547169811,0.943396226,0,0,0,0,0.943396226,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,4,0,4,0,2,0,6,10,15
Lac Unique,1.25,2013,3,0.027794594,4.284986413,8.2073,3.699548466,-30.80912237,0.204,80.83333333,2.5,0.833333333,12.5,0.833333333,0.833333333,0,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333,6,0,0,0,0,0,0,0,0,0,1,0,5,3,25
Lac Unique,2.25,2011,3,0.021434504,3.840470446,8.1005,3.513601652,-30.89425291,0.202,73.91304348,6.086956522,0,16.52173913,0.869565217,0.869565217,0,0.869565217,0,0,0.869565217,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,1,5,8,26
Lac Unique,3.25,2009,3,0.018881003,4.252904082,8.3112,3.377820465,-30.98160145,0.176,70.4,7.2,0,20,0.8,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,10,0,0,0,0,0,0,0,6,0,0,1,0,17,17
Lac Unique,4.25,2007,3,0.020115786,4.471252908,8.7046,3.265102899,-30.74604509,0.174,86.73469388,5.102040816,0,6.12244898,1.020408163,0,0,0,0,0,1.020408163,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,2,0,3,1,6,9,37
Lac Unique,6.25,2003,3,0.020290248,3.900234742,8.6347,3.020723336,-30.68063552,0.165,81.25,1.041666667,0,15.625,0,0,0,0,0,0,1.041666667,0,0,0,0,0,0,0,0,0,1.041666667,0,7,1,0,0,0,0,0,0,5,0,3,1,5,2,32
Lac Unique,8.25,1997,3,0.019337459,3.999411938,8.3077,2.848760798,-30.74088973,0.174,78.49462366,1.075268817,0,18.27956989,1.075268817,0,0,1.075268817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,3,2,4,11
Lac Unique,10.25,1991,3,0.016452054,3.991233374,8.622,2.297618838,-30.64688815,0.107,73.55371901,0.826446281,1.652892562,23.14049587,0,0.826446281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,1,0,0,1,0,3,0,3,12,10
Lac Unique,11.25,1988,3,0.014314858,4.234822451,8.3911,2.537338324,-30.24593057,0.117,68.80733945,4.587155963,4.587155963,17.43119266,0.917431193,0.917431193,0,0,0.917431193,0.917431193,0,0.917431193,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,2,0,6,0,3,20,12
Lac Unique,12.25,1984,2,0.015064604,4.150080515,8.97,1.905191391,-30.60547024,0.102,71.05263158,1.315789474,1.315789474,21.05263158,1.315789474,1.315789474,0,0,0,1.315789474,1.315789474,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,2,8,0,0,0,18,19
Lac Unique,14.5,1978,2,0.014015802,4.347481158,8.9386,1.926715372,-30.15418943,0.097,73.38709677,6.451612903,0.806451613,12.90322581,0.806451613,0,0,1.612903226,1.612903226,0,0,0,0,0.806451613,0,0,0,0,0.806451613,0,0,0,15,2,0,0,3,1,3,0,10,2,0,0,4,7,11
Lac Unique,16.75,1965,2,0.009685809,4.087460485,8.7169,1.351671918,-30.15460521,0.109,72,5,4,17,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,1,2,2,0,1,12,3,0,0,1,2,4
Lac Unique,18.25,1958,2,0.011631501,4.272127733,9.1149,0.854428201,-30.06399751,0.093,59.3220339,13.55932203,0.847457627,17.79661017,2.542372881,1.694915254,0.847457627,0,0.847457627,0.847457627,0,0,0,0.847457627,0,0,0,0,0.847457627,0,0,0,16,0,0,1,6,0,0,0,7,7,0,0,5,0,10
Lac Unique,20.25,1948,2,0.008184069,4.169415292,8.8431,0.507499239,-29.60359828,0.093804171,32.32323232,16.16161616,2.02020202,14.14141414,4.04040404,8.080808081,4.04040404,3.03030303,5.050505051,1.01010101,2.02020202,1.01010101,1.01010101,2.02020202,1.01010101,1.01010101,0,1.01010101,0,0,1.01010101,0,7,2,3,3,3,0,1,2,6,1,0,0,2,0,6
Lac Unique,22.25,1936,2,0.011119535,3.865834134,9.5782,0.52374765,-29.60619292,0.095,58.58585859,11.11111111,0,8.080808081,9.090909091,2.02020202,4.04040404,1.01010101,1.01010101,0,2.02020202,0,1.01010101,0,0,1.01010101,0,0,0,1.01010101,0,0,21,0,1,2,10,0,5,0,19,4,0,0,5,3,17
Lac Unique,24.25,1924,1,0.008795482,3.91269259,9.6564,0.567365249,-29.00759205,0.095,26.31578947,10.52631579,1.315789474,10.52631579,11.84210526,2.631578947,7.894736842,2.631578947,5.263157895,5.263157895,3.947368421,2.631578947,1.315789474,1.315789474,1.315789474,0,0,1.315789474,1.315789474,1.315789474,1.315789474,0,6,0,1,3,2,0,0,0,0,1,0,0,1,2,6
Lac Unique,26.25,1912,1,0.00946854,3.915635902,9.5716,0.402706673,-29.12025079,0.1,31.08108108,17.56756757,0,16.21621622,8.108108108,5.405405405,1.351351351,1.351351351,0,2.702702703,2.702702703,1.351351351,1.351351351,0,0,1.351351351,2.702702703,1.351351351,0,1.351351351,0,1.351351351,35,0,4,0,10,0,0,0,4,0,4,0,6,5,24
Lac Unique,28.25,1898,1,0.008279814,4.129008203,9.4052,0.369788721,-28.82964555,0.105,19.73684211,1.315789474,0,9.210526316,19.73684211,10.52631579,6.578947368,3.947368421,3.947368421,3.947368421,3.947368421,6.578947368,2.631578947,1.315789474,0,0,0,1.315789474,1.315789474,0,1.315789474,0,11,0,0,0,0,0,0,0,3,0,2,0,0,5,14
Lac Unique,30.25,1884,1,0.009473351,4.137541528,9.8025,0.210782904,-29.09200123,0.123,15.85365854,2.43902439,0,9.756097561,18.29268293,6.097560976,8.536585366,7.317073171,2.43902439,4.87804878,1.219512195,4.87804878,1.219512195,1.219512195,4.87804878,3.658536585,2.43902439,1.219512195,1.219512195,1.219512195,0,1.219512195,7,0,4,3,3,0,3,0,3,0,0,0,4,2,6
